I (798598) MPU6050: g_total(raw)=0.995 g (ax=0.007, ay=-0.929, az=-0.355)
I (798698) MPU6050: g_total(raw)=0.990 g (ax=0.013, ay=-0.917, az=-0.374)
I (798798) MPU6050: g_total(raw)=0.995 g (ax=0.006, ay=-0.923, az=-0.371)
I (798898) MPU6050: g_total(raw)=1.003 g (ax=0.004, ay=-0.930, az=-0.375)
I (798998) MPU6050: g_total(raw)=0.993 g (ax=0.010, ay=-0.919, az=-0.377)
I (799098) MPU6050: g_total(raw)=0.988 g (ax=0.012, ay=-0.909, az=-0.385)
I (799198) MPU6050: g_total(raw)=1.008 g (ax=-0.004, ay=-0.925, az=-0.402)
I (799298) MPU6050: g_total(raw)=0.998 g (ax=0.002, ay=-0.920, az=-0.387)
I (799398) MPU6050: g_total(raw)=1.000 g (ax=0.004, ay=-0.916, az=-0.403)
I (799498) MPU6050: g_total(raw)=1.014 g (ax=0.009, ay=-0.924, az=-0.418)
I (799598) MPU6050: g_total(raw)=0.993 g (ax=0.023, ay=-0.903, az=-0.414)
I (799698) MPU6050: g_total(raw)=0.998 g (ax=0.005, ay=-0.904, az=-0.421)
I (799798) MPU6050: g_total(raw)=1.007 g (ax=0.007, ay=-0.911, az=-0.428)
I (799898) MPU6050: g_total(raw)=0.995 g (ax=0.018, ay=-0.903, az=-0.418)
I (799998) MPU6050: g_total(raw)=0.994 g (ax=0.008, ay=-0.902, az=-0.417)
I (800098) MPU6050: g_total(raw)=0.996 g (ax=0.014, ay=-0.901, az=-0.425)
I (800198) MPU6050: g_total(raw)=1.004 g (ax=0.008, ay=-0.901, az=-0.443)
I (800298) MPU6050: g_total(raw)=0.994 g (ax=0.013, ay=-0.894, az=-0.434)
I (800398) MPU6050: g_total(raw)=0.995 g (ax=0.009, ay=-0.891, az=-0.443)
I (800498) MPU6050: g_total(raw)=0.989 g (ax=0.020, ay=-0.887, az=-0.436)
I (800598) MPU6050: g_total(raw)=0.997 g (ax=0.010, ay=-0.888, az=-0.453)
I (800698) MPU6050: g_total(raw)=0.995 g (ax=0.009, ay=-0.888, az=-0.448)
I (800798) MPU6050: g_total(raw)=0.993 g (ax=0.011, ay=-0.878, az=-0.463)
I (800898) MPU6050: g_total(raw)=0.997 g (ax=0.006, ay=-0.884, az=-0.461)
I (800998) MPU6050: g_total(raw)=0.989 g (ax=0.007, ay=-0.866, az=-0.478)
I (801098) MPU6050: g_total(raw)=0.995 g (ax=0.010, ay=-0.871, az=-0.482)
I (801198) MPU6050: g_total(raw)=0.985 g (ax=0.017, ay=-0.860, az=-0.480)
I (801298) MPU6050: g_total(raw)=0.990 g (ax=0.005, ay=-0.868, az=-0.475)
I (801398) MPU6050: g_total(raw)=0.992 g (ax=0.010, ay=-0.861, az=-0.493)
I (801498) MPU6050: g_total(raw)=0.995 g (ax=0.005, ay=-0.867, az=-0.488)
I (801598) MPU6050: g_total(raw)=0.988 g (ax=-0.002, ay=-0.862, az=-0.482)
I (801698) MPU6050: g_total(raw)=0.988 g (ax=0.018, ay=-0.858, az=-0.489)
I (801798) MPU6050: g_total(raw)=0.995 g (ax=0.013, ay=-0.863, az=-0.495)
I (801898) MPU6050: g_total(raw)=0.992 g (ax=0.011, ay=-0.856, az=-0.501)
I (801998) MPU6050: g_total(raw)=0.992 g (ax=0.009, ay=-0.854, az=-0.505)
I (802098) MPU6050: g_total(raw)=0.990 g (ax=0.013, ay=-0.853, az=-0.503)
I (802198) MPU6050: g_total(raw)=0.989 g (ax=-0.004, ay=-0.847, az=-0.512)
I (802298) MPU6050: g_total(raw)=0.994 g (ax=0.010, ay=-0.848, az=-0.517)
I (802398) MPU6050: g_total(raw)=0.992 g (ax=0.015, ay=-0.847, az=-0.517)
I (802498) MPU6050: g_total(raw)=0.977 g (ax=0.016, ay=-0.840, az=-0.499)
I (802598) MPU6050: g_total(raw)=0.993 g (ax=-0.007, ay=-0.837, az=-0.535)
I (802698) MPU6050: g_total(raw)=0.980 g (ax=0.012, ay=-0.824, az=-0.530)
I (802798) MPU6050: g_total(raw)=0.991 g (ax=0.001, ay=-0.833, az=-0.537)
I (802898) MPU6050: g_total(raw)=0.993 g (ax=0.009, ay=-0.833, az=-0.541)
I (802998) MPU6050: g_total(raw)=0.992 g (ax=0.014, ay=-0.828, az=-0.546)
I (803098) MPU6050: g_total(raw)=0.983 g (ax=0.010, ay=-0.824, az=-0.537)
I (803198) MPU6050: g_total(raw)=0.990 g (ax=0.019, ay=-0.826, az=-0.546)
I (803298) MPU6050: g_total(raw)=0.983 g (ax=0.011, ay=-0.827, az=-0.532)
I (803398) MPU6050: g_total(raw)=0.992 g (ax=0.006, ay=-0.826, az=-0.549)
I (803498) MPU6050: g_total(raw)=0.997 g (ax=0.012, ay=-0.826, az=-0.559)
I (803598) MPU6050: g_total(raw)=0.990 g (ax=0.008, ay=-0.821, az=-0.553)
I (803698) MPU6050: g_total(raw)=0.996 g (ax=0.008, ay=-0.816, az=-0.572)
I (803798) MPU6050: g_total(raw)=0.989 g (ax=0.008, ay=-0.815, az=-0.559)
I (803898) MPU6050: g_total(raw)=0.986 g (ax=0.015, ay=-0.811, az=-0.561)
I (803998) MPU6050: g_total(raw)=0.987 g (ax=0.020, ay=-0.807, az=-0.567)
I (804098) MPU6050: g_total(raw)=0.992 g (ax=0.008, ay=-0.810, az=-0.572)
I (804198) MPU6050: g_total(raw)=0.972 g (ax=0.009, ay=-0.790, az=-0.566)
I (804298) MPU6050: g_total(raw)=0.989 g (ax=0.005, ay=-0.801, az=-0.581)
I (804398) MPU6050: g_total(raw)=0.994 g (ax=-0.000, ay=-0.802, az=-0.587)
I (804498) MPU6050: g_total(raw)=0.983 g (ax=0.014, ay=-0.794, az=-0.579)
I (804598) MPU6050: g_total(raw)=0.982 g (ax=0.013, ay=-0.792, az=-0.580)
I (804698) MPU6050: g_total(raw)=0.983 g (ax=0.008, ay=-0.784, az=-0.592)
I (804798) MPU6050: g_total(raw)=0.990 g (ax=0.015, ay=-0.798, az=-0.587)
I (804898) MPU6050: g_total(raw)=0.979 g (ax=0.014, ay=-0.779, az=-0.593)
